CustomerID,Gender,Age,Location
1082,Man,30,"Lombard, IL"
1083,Woman,40,"South Gate, CA"
1084,Woman,47,"Ossian, IN"
1085,Woman,56,"Maryvale, AZ"
1086,Woman,47,"Millwood, WA"
1087,Woman,18,"Gates Mills, OH"
1088,Woman,37,"Lexington-Fayette, KY"
1089,Woman,30,"Sandston, VA"
1090,Woman,33,"Janesville, WI"
1091,Man,22,"Fairmont, WV"
1092,Woman,56,"Royersford, PA"
1093,Man,50,"San Antonio, TX"
1094,Man,26,"Los Angeles, CA"
1095,Woman,34,"Pleasanton, TX"
1096,Woman,37,"Gallup, NM"
1097,Woman,36,"Apple Valley, MN"
1098,Woman,32,"New York City, NY"
1099,Man,44,"Jacksonville, FL"
1100,Woman,49,"South Hill, WA"
1101,Man,26,"Tilden, TX"
1102,Man,38,"Fort Worth, TX"
1103,Woman,28,"Kewanee, IL"
1104,Woman,18,"Maplewood, NJ"
1105,Woman,52,"Charleston, SC"
1106,Man,34,"Sanford, FL"
1107,Man,32,"Branford Center, CT"
1108,Man,28,"Virginia Beach, VA"
1109,Man,51,"Lafayette, CO"
1110,Woman,47,"Lewistown, PA"
1111,Man,63,"Fountainhead-Orchard Hills, MD"
1112,Man,24,"Memphis, TN"
1113,Woman,51,"Oklahoma City, OK"
1114,Woman,50,"San Martin, CA"
1115,Woman,38,"Independence, MO"
1116,Man,28,"San Tan Valley, AZ"
1117,Man,27,"Egypt Lake-Leto, FL"
1118,Man,32,"St. Louis, MO"
1119,Man,21,"Miamisburg, OH"
1120,Man,41,"Providence, RI"
1121,Woman,27,"New Castle, DE"
1122,Man,41,"Savannah, GA"
1123,Man,49,"San Diego, CA"
1124,Woman,18,"Red Hill, SC"
1125,Woman,36,"Norton, VA"
1126,Man,45,"Severna Park, MD"
1127,Man,23,"Jonesboro, IN"
1128,Woman,61,"New York City, NY"
1129,Man,18,"Hastings-on-Hudson, NY"
1130,Woman,31,"Farrell, PA"
1131,Man,51,"Bremen, OH"
1132,Woman,51,"San Antonio, TX"
1133,Woman,18,"Newport East, RI"
1134,Man,39,"Villa Hills, KY"
1135,Man,34,"Shamokin Dam, PA"
1136,Man,32,"Longview, WA"
1137,Man,41,"Tacoma, WA"
1138,Woman,18,"West Carson, CA"
1139,Woman,57,"Aurora, CO"
1140,Man,59,"Staten Island, NY"
1141,Man,18,"Clarkston, GA"
1142,Man,58,"Lafayette, LA"
1143,Woman,38,"Oakboro, NC"
1144,Man,29,"Roseville, CA"
1145,Man,30,"Los Angeles, CA"
1146,Other/Prefer Not to Say,50,"Berwyn, IL"
1147,Man,57,"Penn Valley, CA"
1148,Man,34,"Indianapolis, IN"
1149,Woman,29,"Lesslie, SC"
1150,Man,25,"Papillion, NE"
1151,Woman,58,"Skippers Corner, NC"
1152,Man,18,"Frisco, TX"
1153,Woman,48,"Rincon, GA"
1154,Man,42,"Marco, FL"
1155,Man,20,"Omaha, NE"
1156,Man,28,"Southern Pines, NC"
1157,Man,37,"Ingalls Park, IL"
1158,Man,18,"Dale City, VA"
1159,Man,33,"Saint Clair, PA"
1160,Man,45,"Arcadia, CA"
1161,Man,18,"Martinez, CA"
1162,Woman,38,"Altamont, NY"
1163,Man,29,"Alameda, CA"
1164,Man,48,"Nashville, TN"
1165,Woman,47,"Paterson, NJ"
1166,Man,39,"Newport East, RI"
1167,Woman,35,"Woodbury, TN"
1168,Man,42,"Tomah, WI"
1169,Man,56,"Plymouth, WI"
1170,Woman,51,"New York City, NY"
1171,Man,55,"Lake Wylie, SC"
1172,Man,56,"Murray, UT"
1173,Man,39,"Bridgeport, CT"
1174,Woman,59,"Phoenix, AZ"
1175,Man,41,"Escondido, CA"
1176,Woman,21,"Nashville, TN"
1177,Woman,18,"Gilbert, AZ"
1178,Man,31,"Kennesaw, GA"
1179,Man,27,"Rancho Palos Verdes, CA"
1180,Man,57,"Boston, MA"
1181,Man,26,"Tucson, AZ"
1182,Man,27,"Northampton, PA"
1183,Woman,53,"Greeley, CO"
1184,Woman,52,"Overland Park, KS"
1185,Woman,44,"Chicago, IL"
1186,Woman,35,"Long Beach, CA"
1187,Woman,19,"Ames Lake, WA"
1188,Man,40,"Medfield, MA"
1189,Man,29,"Los Angeles, CA"
1190,Man,51,"Mission, TX"
1191,Woman,33,"Redwood Shores, CA"
1192,Man,36,"Danbury, CT"
1193,Woman,30,"East Porterville, CA"
1194,Woman,53,"Olathe, KS"
1195,Woman,44,"Brooklyn, NY"
1196,Woman,22,"San Pedro, CA"
1197,Man,43,"Phoenix, AZ"
1198,Man,51,"Denver, CO"
1199,Man,34,"New York City, NY"
1200,Woman,33,"Nampa, ID"
1201,Woman,47,"Irvine, CA"
1202,Woman,41,"Dayton, TN"
1203,Woman,32,"Marion, SC"
1204,Woman,33,"New York City, NY"
1205,Woman,44,"Phoenix, AZ"
1206,Man,18,"Chicago, IL"
1207,Woman,29,"Rock Island, IL"
1208,Man,24,"Monroe, WA"
1209,Man,42,"Corona, NY"
1210,Man,42,"McKeesport, PA"
1211,Woman,27,"Detroit, MI"
1212,Man,40,"Naples Park, FL"
1213,Woman,18,"Aurora, CO"
1214,Man,18,"New South Memphis, TN"
1215,Man,32,"Uvalde, TX"
1216,Man,42,"Wheaton, MD"
1217,Man,38,"Boston, MA"
1218,Man,21,"Laredo, TX"
1219,Man,54,"Lexington, KY"
1220,Woman,34,"Klahanie, WA"
1221,Woman,26,"Wadena, MN"
1222,Woman,39,"Smyrna, TN"
1223,Man,18,"New Cassel, NY"
1224,Woman,36,"Middle Village, NY"
1225,Woman,28,"Thief River Falls, MN"
1226,Man,48,"Flatbush, NY"
1227,Woman,47,"Wayne, NJ"
1228,Man,30,"Cudahy, WI"
1229,Woman,30,"West Seneca, NY"
1230,Man,45,"New York City, NY"
1231,Woman,47,"Los Angeles, CA"
1232,Man,43,"Kirkland, WA"
1233,Man,45,"Homer Glen, IL"
1234,Woman,36,"Hillsboro, OH"
1235,Woman,35,"Orange, CA"
1236,Woman,22,"Brooklyn, NY"
1237,Woman,46,"Lake Magdalene, FL"
1238,Woman,42,"Los Angeles, CA"
1239,Woman,48,"Canisteo, NY"
1240,Man,47,"Oakton, VA"
1241,Woman,28,"Hialeah, FL"
1242,Woman,39,"St. Louis, MO"
1243,Man,28,"Park City, UT"
1244,Man,18,"Sparks, NV"
1245,Woman,45,"Fate, TX"
1246,Man,30,"Ingleside, TX"
1247,Woman,36,"Sheepshead Bay, NY"
1248,Woman,29,"Ellisville, MO"
1249,Man,18,"Lindsay, CA"
1250,Woman,57,"Berlin, PA"
1251,Woman,61,"Worcester, MA"
1252,Man,28,"Miami, FL"
1253,Woman,29,"Oxnard, CA"
1254,Woman,49,"Arden-Arcade, CA"
1255,Man,41,"Staten Island, NY"
1256,Man,28,"Stamford, CT"
1257,Man,57,"Portland, OR"
1258,Man,43,"South Lawndale, IL"
1259,Woman,28,"Caledonia, WI"
1260,Man,47,"Enchanted Hills, NM"
1261,Woman,37,"Springfield, MO"
1262,Woman,18,"Port Saint Lucie, FL"
1263,Woman,42,"Spokane, WA"
1264,Woman,21,"Sioux Falls, SD"
1265,Woman,46,"Queens, NY"
1266,Woman,49,"Harrison, NJ"
1267,Woman,56,"Rio Grande City, TX"
1268,Man,34,"The Bronx, NY"
1269,Man,61,"Jonesport, ME"
1270,Woman,41,"Kokomo, IN"
1271,Woman,48,"Brooklyn, NY"
1272,Man,31,"Clarksburg, MD"
1273,Woman,58,"San Antonio, TX"
1274,Woman,47,"Westfield, MA"
1275,Man,23,"Wapakoneta, OH"
1276,Man,35,"Dallas, TX"
1277,Woman,46,"Gilbert, AZ"
1278,Man,46,"Dubuque, IA"
1279,Woman,34,"Gateway, FL"
1280,Woman,62,"Cranberry Township, PA"
1281,Man,38,"Lanham-Seabrook, MD"
1282,Woman,43,"Tuba City, AZ"
1283,Man,36,"Glen Carbon, IL"
1284,Woman,35,"South Laurel, MD"
1285,Man,32,"Edinburg, TX"
1286,Man,46,"Corona, CA"
1287,Man,46,"Newton, MA"
1288,Man,39,"Rockford, IL"
1289,Woman,52,"Rock Island, IL"
1290,Woman,32,"The Bronx, NY"
1291,Woman,42,"West Hills, CA"
1292,Woman,54,"New Philadelphia, PA"
1293,Man,18,"Albuquerque, NM"
1294,Man,35,"Lorain, OH"
1295,Woman,37,"Latham, NY"
1296,Woman,43,"Oakland, CA"
1297,Woman,66,"New York City, NY"
1298,Woman,36,"Alabaster, AL"
1299,Man,41,"Gilbert, AZ"
1300,Woman,20,"Menasha, WI"
1301,Woman,35,"Paradise, NV"
1302,Man,52,"Hastings-on-Hudson, NY"
1303,Man,52,"Levittown, PA"
1304,Man,18,"Owings Mills, MD"
1305,Woman,36,"Abbeville, LA"
1306,Man,43,"Hudson, WI"
1307,Woman,55,"Havre, MT"
1308,Woman,67,"Portage, MI"
1309,Man,36,"Bethel Park, PA"
1310,Woman,18,"El Paso, TX"
1311,Woman,39,"Park City, UT"
1312,Man,38,"Santa Ana, CA"
1313,Woman,41,"Corona, NY"
1314,Man,43,"Salinas, CA"
1315,Man,58,"Springfield, TN"
1316,Woman,18,"Arnold, MO"
1317,Man,41,"Lexington-Fayette, KY"
1318,Man,42,"Bellevue, NE"
1319,Man,32,"Highland, KS"
1320,Man,27,"Iselin, NJ"
1321,Man,35,"San Bruno, CA"
1322,Woman,34,"Little Falls, NY"
1323,Man,18,"McKinney, TX"
1324,Woman,23,"San Diego, CA"
1325,Man,27,"Norwalk, CA"
1326,Woman,53,"Endwell, NY"
1327,Man,27,"Wyldwood, TX"
1328,Man,25,"Goleta, CA"
1329,Man,29,"Scottsdale, AZ"
1330,Man,29,"Corona, CA"
1331,Woman,47,"New York City, NY"
1332,Man,42,"Muncie, IN"
1333,Man,43,"New Cassel, NY"
1334,Woman,40,"Chicago, IL"
1335,Woman,24,"Pocahontas, AR"
1336,Man,58,"Lexington, KY"
1337,Man,28,"South Boston, MA"
1338,Woman,41,"Phoenix, AZ"
1339,Man,46,"Crab Orchard, WV"
1340,Man,18,"Huntley, IL"
1341,Woman,32,"Southlake, TX"
1342,Man,18,"Arrochar, NY"
1343,Woman,34,"Casselberry, FL"
1344,Man,50,"Howard, WI"
1345,Woman,35,"Pasadena, CA"
1346,Man,22,"Manhattan, NY"
1347,Woman,36,"South Whittier, CA"
1348,Man,33,"Near South Side, IL"
1349,Woman,27,"New York City, NY"
1350,Woman,53,"Toms River, NJ"
1351,Woman,21,"Toledo, OH"
1352,Woman,40,"Burnsville, MN"
1353,Woman,45,"Lake Hopatcong, NJ"
1354,Woman,34,"Los Angeles, CA"
1355,Man,46,"Eastvale, CA"
1356,Man,40,"Nashville, TN"
1357,Man,55,"Tulare, CA"
1358,Woman,37,"New York City, NY"
1359,Woman,18,"Smithville, TN"
1360,Woman,35,"Douglaston, NY"
1361,Woman,37,"Holliston, MA"
1362,Woman,57,"Smyrna, GA"
1363,Man,31,"Bayonet Point, FL"
1364,Woman,18,"Meads, KY"
1365,Woman,33,"Berwyn, IL"
1366,Woman,39,"Birmingham, AL"
1367,Man,35,"Lakewood, CA"
1368,Man,34,"Dallas, TX"
1369,Man,27,"Headland, AL"
1370,Man,41,"Manhattan, NY"
1371,Man,37,"Grove, OK"
1372,Man,43,"Garland, TX"
1373,Man,18,"San Francisco, CA"
1374,Man,38,"College, AK"
1375,Woman,39,"South Shore, IL"
1376,Woman,53,"Madill, OK"
1377,Woman,38,"McCook, NE"
1378,Man,34,"Valparaiso, IN"
1379,Woman,48,"Buena Park, CA"
1380,Man,43,"Houston, TX"
1381,Man,53,"Uptown, IL"
1382,Woman,43,"Philadelphia, PA"
1383,Man,48,"Danbury, CT"
1384,Man,39,"Waltham, MA"
1385,Man,41,"Gates-North Gates, NY"
1386,Man,55,"Milwaukee, WI"
1387,Woman,32,"Greenpoint, NY"
1388,Man,46,"Beverly Cove, MA"
1389,Woman,43,"Whitman, PA"
1390,Man,41,"Oakridge, OR"
1391,Man,35,"Jackson, NJ"
1392,Woman,36,"Pomona, CA"
1393,Man,26,"Stuart, IA"
1394,Woman,64,"Wyoming, MI"
1395,Man,40,"Wedgefield, SC"
1396,Woman,34,"Roseville, CA"
1397,Woman,57,"Gadsden, SC"
1398,Woman,35,"Las Vegas, NV"
1399,Man,42,"Edgewater, FL"
1400,Woman,50,"New York City, NY"
1401,Woman,40,"Houston, TX"
1402,Man,48,"New York City, NY"
1403,Man,50,"Kendale Lakes, FL"
1404,Woman,62,"Hayward, CA"
1405,Man,34,"Amarillo, TX"
1406,Man,18,"Fresno, CA"
1407,Woman,30,"Bayside, NY"
1408,Woman,42,"Baldwin, PA"
1409,Woman,30,"Washington, NJ"
1410,Woman,32,"Durham, NC"
1411,Man,47,"Glendale, AZ"
1412,Woman,22,"Cadiz, KY"
1413,Woman,39,"Brooklyn, NY"
1414,Woman,31,"Pontiac, MI"
1415,Woman,39,"Kalamazoo, MI"
1416,Woman,43,"Jackson, NJ"
1417,Woman,31,"Pittsburgh, PA"
1418,Man,36,"Forney, TX"
1419,Woman,60,"Lynbrook, NY"
1420,Woman,30,"Orangeburg, NY"
1421,Man,24,"District Heights, MD"
1422,Man,39,"New Rochelle, NY"
1423,Man,52,"Farmington, UT"
1424,Man,34,"Iuka, MS"
1425,Man,58,"New York City, NY"
1426,Man,33,"Roswell, GA"
1427,Woman,41,"Castro Valley, CA"
1428,Woman,33,"Miami, FL"
1429,Man,31,"Brooklyn, NY"
1430,Man,18,"Shadow Hills, CA"
1431,Woman,40,"Hollister, CA"
1432,Man,34,"Riviera Beach, FL"
1433,Man,51,"Pottsville, PA"
1434,Woman,18,"Stallings, NC"
1435,Man,48,"Colorado Springs, CO"
1436,Man,37,"Lancaster, KY"
1437,Woman,42,"Hanover, IN"
1438,Woman,66,"Nampa, ID"
1439,Woman,44,"Burbank, CA"
1440,Man,57,"Aurora, CO"
1441,Man,31,"Staten Island, NY"
1442,Man,36,"Independence, MO"
1443,Woman,37,"Santa Rosa, CA"
1444,Man,37,"Cincinnati, OH"
1445,Woman,30,"Commerce City, CO"
1446,Woman,45,"Fresno, CA"
1447,Man,44,"San Francisco, CA"
1448,Woman,42,"Staten Island, NY"
1449,Woman,42,"Rio Linda, CA"
1450,Woman,18,"Corona, CA"
1451,Man,43,"Inver Grove Heights, MN"
1452,Woman,28,"Watertown, SD"
1453,Man,40,"St. Petersburg, FL"
1454,Woman,31,"Henderson, NV"
1455,Man,31,"Santa Rosa, CA"
1456,Woman,54,"South San Jose Hills, CA"
1457,Woman,49,"Speers, PA"
1458,Woman,54,"Lawrence, KS"
1459,Man,44,"Cypress, CA"
1460,Woman,35,"Savoy, IL"
1461,Woman,50,"West Lafayette, OH"
1462,Woman,40,"Baltimore, MD"
1463,Man,23,"Queens, NY"
1464,Man,23,"Campbell, CA"
1465,Man,26,"Addison, IL"
1466,Woman,38,"North Port, FL"
1467,Man,38,"Westfield, MA"
1468,Man,38,"Atascocita, TX"
1469,Man,48,"Norfolk, VA"
1470,Woman,18,"Fremont, CA"
1471,Woman,51,"Manhattan, NY"
1472,Woman,45,"Philadelphia, PA"
1473,Man,18,"Los Angeles, CA"
1474,Man,44,"National City, CA"
1475,Woman,43,"Hell's Kitchen, NY"
1476,Woman,32,"Thonotosassa, FL"
1477,Man,32,"Edgewood, MD"
1478,Man,51,"Winter Haven, FL"
1479,Man,20,"Huntsville, AL"
1480,Woman,70,"Omaha, NE"
1481,Man,31,"Charlotte, NC"
1482,Man,46,"Ponchatoula, LA"
1483,Woman,27,"La Homa, TX"
1484,Man,35,"North Las Vegas, NV"
1485,Man,18,"Los Angeles, CA"
1486,Woman,30,"Jersey City, NJ"
1487,Woman,31,"Burlington, KY"
1488,Woman,33,"Oklahoma City, OK"
1489,Woman,18,"Searcy, AR"
1490,Man,41,"Enchanted Hills, NM"
1491,Woman,37,"Sicklerville, NJ"
1492,Man,30,"Spokane Valley, WA"
1493,Woman,38,"Rochelle, IL"
1494,Woman,56,"Northridge, OH"
1495,Woman,23,"Long Beach, CA"
1496,Man,23,"Miami Beach, FL"
1497,Woman,26,"Hampton, VA"
1498,Man,36,"South Boston, MA"
1499,Man,25,"Sugar Land, TX"
1500,Man,20,"Vacaville, CA"
1501,Woman,55,"Fryeburg, ME"
1502,Man,63,"Hollywood, FL"
1503,Woman,45,"Galveston, TX"
1504,Woman,37,"Wichita, KS"
1505,Woman,39,"Wellington, FL"
1506,Man,55,"Locust Grove, OK"
1507,Man,36,"South Miami, FL"
1508,Man,26,"South Suffolk, VA"
1509,Woman,41,"The Bronx, NY"
1510,Woman,58,"San Luis Obispo, CA"
1511,Woman,30,"Southbury, CT"
1512,Man,47,"Schoolcraft, MI"
1513,Woman,48,"Raleigh, NC"
1514,Woman,42,"Netcong, NJ"
1515,Woman,41,"Valencia, CA"
1516,Woman,18,"Knoxville, TN"
1517,Man,30,"Beecher, IL"
1518,Man,56,"Barstow Heights, CA"
1519,Man,28,"Holbrook, NY"
1520,Woman,28,"Sacramento, CA"
1521,Man,54,"River Hills, WI"
1522,Man,53,"Brooklyn, NY"
1523,Man,59,"Sarcoxie, MO"
1524,Woman,26,"Citrus Heights, CA"
1525,Woman,45,"Morton Grove, IL"
1526,Woman,39,"Costa Mesa, CA"
1527,Man,42,"Albuquerque, NM"
1528,Man,19,"Greenville, NC"
1529,Woman,53,"Goshen, NY"
1530,Man,31,"Brighton Beach, NY"
1531,Man,33,"Tucson, AZ"
1532,Woman,40,"Aurora, OH"
1533,Woman,33,"Jeannette, PA"
1534,Man,33,"Port Saint Lucie, FL"
1535,Man,35,"South Old Bridge, NJ"
1536,Man,41,"Smyrna, GA"
1537,Man,18,"Sheboygan, WI"
1538,Woman,18,"Coopertown, TN"
1539,Woman,27,"Mansfield, MA"
1540,Man,25,"Jacksonville, FL"
1541,Woman,38,"Saint Paris, OH"
1542,Man,18,"New Waverly, TX"
1543,Man,41,"Nahant, MA"
1544,Man,50,"Monterey Park, CA"
1545,Man,33,"Houston, TX"
1546,Man,43,"Minneapolis, MN"
1547,Man,45,"Montclair, VA"
1548,Woman,28,"Enhaut, PA"
1549,Woman,33,"Badger, AK"
1550,Woman,42,"Boston, MA"
1551,Woman,42,"Hudson, NH"
1552,Woman,18,"Arnold, MO"
1553,Woman,27,"Rosenberg, TX"
1554,Man,24,"Glendale, CA"
1555,Woman,27,"Louisville, KY"
1556,Woman,18,"Seattle, WA"
1557,Woman,25,"Surprise, AZ"
1558,Woman,29,"Flagami, FL"
1559,Man,64,"New City, IL"
1560,Man,25,"El Cerrito, CA"
1561,Woman,30,"Chicago, IL"
1562,Woman,42,"Orland Park, IL"
1563,Woman,22,"Huntsville, AL"
1564,Man,18,"Warren, RI"
1565,Woman,25,"Oak Lawn, IL"
1566,Woman,48,"Norwalk, CA"
1567,Man,46,"Utica, NY"
1568,Man,52,"Philadelphia, PA"
1569,Man,42,"South Jordan, UT"
1570,Woman,47,"McAllen, TX"
1571,Man,27,"Florence, SC"
1572,Woman,27,"Houston, TX"
1573,Woman,67,"Long Beach, CA"
1574,Man,47,"Yorklyn, PA"
1575,Man,25,"Islamorada, FL"
1576,Woman,25,"Anna, TX"
1577,Woman,55,"Reston, VA"
1578,Man,42,"Pleasant Run, OH"
1579,Man,46,"New York City, NY"
1580,Woman,37,"Lakewood, CO"
1581,Man,40,"High Bridge, NJ"
1582,Man,53,"Rochester Hills, MI"
1583,Woman,37,"Denver, CO"
1584,Man,57,"Oklahoma City, OK"
1585,Man,65,"Charlotte, NC"
1586,Woman,42,"Huntington, TX"
1587,Woman,36,"Veradale, WA"
1588,Woman,22,"Brooklyn, MD"
1589,Woman,27,"Danbury, CT"
1590,Woman,35,"Kirkland, WA"
1591,Woman,35,"North Port, FL"
1592,Woman,54,"Nashville, TN"
1593,Man,58,"New York City, NY"
1594,Woman,38,"Springfield, GA"
1595,Woman,39,"Springfield, IL"
1596,Man,19,"Pecan Plantation, TX"
1597,Man,46,"Jackson, MS"
1598,Man,53,"Malden, MA"
1599,Woman,49,"Scottsdale, AZ"
1600,Man,18,"Hilliard, OH"
1601,Man,23,"Venice, CA"
1602,Man,30,"Bay City, TX"
1603,Woman,36,"Brooklyn, NY"
1604,Woman,44,"Sixmile Run, NJ"
1605,Man,46,"Lake Forest, CA"
1606,Woman,21,"Brooklyn, NY"
1607,Man,48,"West Garfield Park, IL"
1608,Man,55,"Seabrook, TX"
1609,Man,56,"Hyattsville, MD"
1610,Woman,27,"Kenosha, WI"
1611,Woman,50,"Longview, WA"
1612,Woman,18,"Rogers, AR"
1613,Woman,69,"Woodbury, NJ"
1614,Woman,40,"Evansville, IN"
1615,Woman,27,"Houston, TX"
1616,Man,41,"Deer Valley, AZ"
1617,Man,33,"Barrington, NJ"
1618,Woman,33,"New York City, NY"
1619,Woman,43,"Allentown, PA"
1620,Man,30,"Chickasha, OK"
1621,Man,42,"Coral Springs, FL"
1622,Woman,38,"Brownsville, TX"
1623,Woman,49,"Gary, IN"
1624,Man,56,"East Los Angeles, CA"
1625,Man,29,"Chula Vista, CA"
1626,Man,45,"Denver, CO"
1627,Woman,37,"South Boston, MA"
1628,Man,29,"Fargo, ND"
1629,Man,52,"Burlington, NC"
1630,Woman,33,"Telford, PA"
1631,Man,36,"Fresno, CA"
1632,Woman,34,"Livingston, NJ"
1633,Woman,42,"Barnstead, NH"
1634,Woman,51,"Chicago, IL"
1635,Woman,34,"El Paso, TX"
1636,Woman,57,"Sparta, NJ"
1637,Man,27,"Walden, NY"
1638,Woman,33,"Castle Rock, CO"
1639,Man,42,"Fort Collins, CO"
1640,Man,53,"Mission District, CA"
1641,Woman,32,"Owatonna, MN"
1642,Man,58,"Chico, CA"
1643,Woman,21,"Bellevue, WA"
1644,Man,34,"Haltom City, TX"
1645,Woman,59,"East Los Angeles, CA"
1646,Woman,38,"Harleysville, PA"
1647,Man,37,"Brookville, NY"
1648,Man,48,"Alexandria, LA"
1649,Woman,46,"New York City, NY"
1650,Woman,54,"New York City, NY"
1651,Woman,36,"Georgetown, KY"
1652,Man,26,"North Highlands, CA"
1653,Woman,38,"Wellesley, MA"
1654,Man,19,"Westerleigh, NY"
1655,Man,26,"West Seneca, NY"
1656,Man,42,"Hollywood, CA"
1657,Man,43,"New South Memphis, TN"
1658,Woman,40,"Matteson, IL"
1659,Man,37,"Germantown, TN"
1660,Woman,58,"Islamorada, FL"
1661,Man,50,"Charlotte, NC"
1662,Woman,29,"Mesa, AZ"
1663,Man,39,"Lewisville, TX"
1664,Woman,18,"Boston, MA"
1665,Woman,52,"Laredo, TX"
1666,Woman,18,"Willingboro, NJ"
1667,Woman,25,"Shively, KY"
1668,Woman,51,"Blanchard, OK"
1669,Man,24,"Bloomington, IN"
1670,Woman,38,"Fallbrook, CA"
1671,Man,42,"Okemos, MI"
1672,Man,35,"Canarsie, NY"
1673,Man,40,"Federal Way, WA"
1674,Man,37,"Aiken, SC"
1675,Woman,30,"Kendall, FL"
1676,Man,46,"Evansburg, PA"
1677,Man,52,"New South Memphis, TN"
1678,Man,20,"Los Angeles, CA"
1679,Woman,50,"Calverton, MD"
1680,Man,48,"Chattanooga, TN"
1681,Woman,33,"Springdale, NJ"
1682,Man,52,"Newark, NJ"
1683,Woman,24,"Boiling Springs, SC"
1684,Woman,38,"San Benito, TX"
1685,Man,25,"Bad Axe, MI"
1686,Woman,59,"Brandywine, MD"
1687,Woman,32,"Brooklyn, NY"
1688,Man,59,"Madison Heights, VA"
1689,Woman,18,"Summerville, SC"
1690,Man,40,"Jacksonville, FL"
1691,Woman,52,"Jacksonville, FL"
1692,Woman,31,"Sault Ste. Marie, MI"
1693,Woman,44,"San Diego, CA"
1694,Man,31,"Glenview, IL"
1695,Woman,18,"New York City, NY"
1696,Woman,44,"Sanibel, FL"
1697,Woman,47,"San Angelo, TX"
1698,Woman,20,"Camp Pendleton South, CA"
1699,Man,50,"Glendale, AZ"
1700,Woman,18,"Landisville, PA"
1701,Woman,30,"San Andreas, CA"
1702,Woman,37,"Seattle, WA"
1703,Man,18,"Metairie Terrace, LA"
1704,Man,29,"West Raleigh, NC"
1705,Woman,61,"Hillsdale, NJ"
1706,Man,18,"Oklahoma City, OK"
1707,Woman,24,"Burleson, TX"
1708,Man,27,"West Sacramento, CA"
1709,Man,18,"Napa, CA"
1710,Man,27,"Bristol, RI"
1711,Woman,53,"Milwaukee, WI"
1712,Woman,62,"Branford, CT"
1713,Woman,27,"Evanston, IL"
1714,Man,32,"Sandy Hills, UT"
1715,Woman,32,"Naranja, FL"
1716,Woman,40,"Reedley, CA"
